dataset,model,few_shot_setting,experiment_config,f1,precision,recall
DBpedia-WebNLG,DeepSeek-V3,1shot,(R_gold/sim),49.8,50.8,49.3
DBpedia-WebNLG,DeepSeek-V3,3shot,(R_gold/sim),54.0,55.0,53.4
DBpedia-WebNLG,DeepSeek-V3,5shot,(R_gold/sim),56.5,57.6,56.0
DBpedia-WebNLG,DeepSeek-V3,1shot,(R_gold+inter+intra/sim),48.5,52.7,46.3
DBpedia-WebNLG,DeepSeek-V3,3shot,(R_gold+inter+intra/sim),53.0,56.2,51.3
DBpedia-WebNLG,DeepSeek-V3,5shot,(R_gold+inter+intra/sim),55.0,58.2,53.3
DBpedia-WebNLG,DeepSeek-V3,1shot,(R_gold+intra/rand),40.9,44.9,38.9
DBpedia-WebNLG,DeepSeek-V3,3shot,(R_gold+intra/rand),43.4,47.3,41.5
DBpedia-WebNLG,DeepSeek-V3,5shot,(R_gold+intra/rand),45.9,49.1,44.2
DBpedia-WebNLG,DeepSeek-V3,1shot,(R_gold+intra/sim),48.1,51.9,46.1
DBpedia-WebNLG,DeepSeek-V3,3shot,(R_gold+intra/sim),52.8,56.0,51.1
DBpedia-WebNLG,DeepSeek-V3,5shot,(R_gold+intra/sim),55.1,58.0,53.5
DBpedia-WebNLG,Gemini-1.5-Flash,1shot,(R_gold/sim),44.4,48.2,42.5
DBpedia-WebNLG,Gemini-1.5-Flash,3shot,(R_gold/sim),48.5,51.5,47.0
DBpedia-WebNLG,Gemini-1.5-Flash,5shot,(R_gold/sim),49.8,52.4,48.4
DBpedia-WebNLG,Gemini-1.5-Flash,1shot,(R_gold+inter+intra/sim),41.5,47.5,38.4
DBpedia-WebNLG,Gemini-1.5-Flash,3shot,(R_gold+inter+intra/sim),45.5,50.7,42.8
DBpedia-WebNLG,Gemini-1.5-Flash,5shot,(R_gold+inter+intra/sim),47.2,52.1,44.6
DBpedia-WebNLG,Gemini-1.5-Flash,1shot,(R_gold+intra/rand),36.3,42.7,33.1
DBpedia-WebNLG,Gemini-1.5-Flash,3shot,(R_gold+intra/rand),38.6,44.5,35.7
DBpedia-WebNLG,Gemini-1.5-Flash,5shot,(R_gold+intra/rand),41.7,46.6,39.1
DBpedia-WebNLG,Gemini-1.5-Flash,1shot,(R_gold+intra/sim),41.6,47.9,38.4
DBpedia-WebNLG,Gemini-1.5-Flash,3shot,(R_gold+intra/sim),45.7,50.4,43.2
DBpedia-WebNLG,Gemini-1.5-Flash,5shot,(R_gold+intra/sim),47.7,52.1,45.3
DBpedia-WebNLG,LLaMa3-8B,1shot,(R_gold/sim),42.6,44.9,41.3
DBpedia-WebNLG,LLaMa3-8B,3shot,(R_gold/sim),46.1,48.3,45.0
DBpedia-WebNLG,LLaMa3-8B,5shot,(R_gold/sim),47.2,49.8,45.7
DBpedia-WebNLG,LLaMa3-8B,1shot,(R_gold+inter+intra/sim),32.8,39.3,30.0
DBpedia-WebNLG,LLaMa3-8B,3shot,(R_gold+inter+intra/sim),39.7,45.6,37.1
DBpedia-WebNLG,LLaMa3-8B,5shot,(R_gold+inter+intra/sim),39.1,43.9,37.0
DBpedia-WebNLG,LLaMa3-8B,1shot,(R_gold+intra/rand),33.2,39.7,30.0
DBpedia-WebNLG,LLaMa3-8B,3shot,(R_gold+intra/rand),34.0,40.6,30.7
DBpedia-WebNLG,LLaMa3-8B,5shot,(R_gold+intra/rand),38.6,44.9,35.4
DBpedia-WebNLG,LLaMa3-8B,1shot,(R_gold+intra/sim),40.8,46.9,37.6
DBpedia-WebNLG,LLaMa3-8B,3shot,(R_gold+intra/sim),43.3,48.6,40.4
DBpedia-WebNLG,LLaMa3-8B,5shot,(R_gold+intra/sim),44.9,50.3,41.9
DBpedia-WebNLG,LLaMa3-1B,1shot,(R_gold/sim),22.3,26.3,20.5
DBpedia-WebNLG,LLaMa3-1B,3shot,(R_gold/sim),23.0,25.7,22.0
DBpedia-WebNLG,LLaMa3-1B,5shot,(R_gold/sim),22.8,25.8,21.7
DBpedia-WebNLG,LLaMa3-1B,1shot,(R_gold+inter+intra/sim),6.1,8.1,5.4
DBpedia-WebNLG,LLaMa3-1B,3shot,(R_gold+inter+intra/sim),6.7,8.1,6.3
DBpedia-WebNLG,LLaMa3-1B,5shot,(R_gold+inter+intra/sim),4.6,5.6,4.3
DBpedia-WebNLG,LLaMa3-1B,1shot,(R_gold+intra/rand),12.2,18.1,9.8
DBpedia-WebNLG,LLaMa3-1B,3shot,(R_gold+intra/rand),10.7,15.3,8.9
DBpedia-WebNLG,LLaMa3-1B,5shot,(R_gold+intra/rand),10.3,14.3,8.7
DBpedia-WebNLG,LLaMa3-1B,1shot,(R_gold+intra/sim),20.1,25.8,17.5
DBpedia-WebNLG,LLaMa3-1B,3shot,(R_gold+intra/sim),19.2,24.2,17.0
DBpedia-WebNLG,LLaMa3-1B,5shot,(R_gold+intra/sim),19.9,24.0,18.3
WebNLG,DeepSeek-V3,1shot,(R_gold/sim),49.1,50.1,48.5
WebNLG,DeepSeek-V3,3shot,(R_gold/sim),53.4,54.6,52.7
WebNLG,DeepSeek-V3,5shot,(R_gold/sim),54.4,55.5,53.7
WebNLG,DeepSeek-V3,1shot,(R_gold+inter+intra/sim),49.7,53.6,47.4
WebNLG,DeepSeek-V3,3shot,(R_gold+inter+intra/sim),53.9,57.7,51.8
WebNLG,DeepSeek-V3,5shot,(R_gold+inter+intra/sim),54.8,58.2,52.8
WebNLG,DeepSeek-V3,1shot,(R_gold+intra/rand),37.4,41.2,35.4
WebNLG,DeepSeek-V3,3shot,(R_gold+intra/rand),41.7,45.8,39.4
WebNLG,DeepSeek-V3,5shot,(R_gold+intra/rand),43.4,47.5,41.1
WebNLG,DeepSeek-V3,1shot,(R_gold+intra/sim),46.3,49.8,44.3
WebNLG,DeepSeek-V3,3shot,(R_gold+intra/sim),51.2,54.4,49.4
WebNLG,DeepSeek-V3,5shot,(R_gold+intra/sim),52.9,55.8,51.2
WebNLG,Gemini-1.5-Flash,1shot,(R_gold/sim),45.5,48.7,43.7
WebNLG,Gemini-1.5-Flash,3shot,(R_gold/sim),50.4,53.6,48.5
WebNLG,Gemini-1.5-Flash,5shot,(R_gold/sim),51.6,54.3,50.0
WebNLG,Gemini-1.5-Flash,1shot,(R_gold+inter+intra/sim),42.2,48.8,38.8
WebNLG,Gemini-1.5-Flash,3shot,(R_gold+inter+intra/sim),44.7,50.8,41.5
WebNLG,Gemini-1.5-Flash,5shot,(R_gold+inter+intra/sim),46.4,52.1,43.4
WebNLG,Gemini-1.5-Flash,1shot,(R_gold+intra/rand),34.3,39.7,31.6
WebNLG,Gemini-1.5-Flash,3shot,(R_gold+intra/rand),37.6,43.0,34.8
WebNLG,Gemini-1.5-Flash,5shot,(R_gold+intra/rand),39.7,44.5,37.2
WebNLG,Gemini-1.5-Flash,1shot,(R_gold+intra/sim),40.8,47.1,37.6
WebNLG,Gemini-1.5-Flash,3shot,(R_gold+intra/sim),45.2,50.6,42.5
WebNLG,Gemini-1.5-Flash,5shot,(R_gold+intra/sim),46.3,51.1,43.8
WebNLG,LLaMa3-8B,1shot,(R_gold/sim),44.6,46.8,43.2
WebNLG,LLaMa3-8B,3shot,(R_gold/sim),48.3,50.6,46.8
WebNLG,LLaMa3-8B,5shot,(R_gold/sim),49.5,51.9,47.9
WebNLG,LLaMa3-8B,1shot,(R_gold+inter+intra/sim),35.0,41.0,32.8
WebNLG,LLaMa3-8B,3shot,(R_gold+inter+intra/sim),40.6,46.5,38.3
WebNLG,LLaMa3-8B,5shot,(R_gold+inter+intra/sim),41.4,47.2,38.8
WebNLG,LLaMa3-8B,1shot,(R_gold+intra/rand),29.1,34.6,26.5
WebNLG,LLaMa3-8B,3shot,(R_gold+intra/rand),34.4,40.6,31.3
WebNLG,LLaMa3-8B,5shot,(R_gold+intra/rand),37.0,43.6,33.7
WebNLG,LLaMa3-8B,1shot,(R_gold+intra/sim),40.2,45.7,37.4
WebNLG,LLaMa3-8B,3shot,(R_gold+intra/sim),46.8,52.7,43.6
WebNLG,LLaMa3-8B,5shot,(R_gold+intra/sim),47.1,52.9,43.9
WebNLG,LLaMa3-1B,1shot,(R_gold/sim),27.5,30.5,26.6
WebNLG,LLaMa3-1B,3shot,(R_gold/sim),26.3,29.0,25.5
WebNLG,LLaMa3-1B,5shot,(R_gold/sim),25.7,28.1,25.5
WebNLG,LLaMa3-1B,1shot,(R_gold+inter+intra/sim),11.8,14.9,10.6
WebNLG,LLaMa3-1B,3shot,(R_gold+inter+intra/sim),12.0,14.9,10.9
WebNLG,LLaMa3-1B,5shot,(R_gold+inter+intra/sim),11.9,14.6,10.9
WebNLG,LLaMa3-1B,1shot,(R_gold+intra/rand),10.6,16.5,8.6
WebNLG,LLaMa3-1B,3shot,(R_gold+intra/rand),10.3,14.6,8.6
WebNLG,LLaMa3-1B,5shot,(R_gold+intra/rand),10.7,15.0,9.2
WebNLG,LLaMa3-1B,1shot,(R_gold+intra/sim),21.5,26.6,19.3
WebNLG,LLaMa3-1B,3shot,(R_gold+intra/sim),22.9,26.9,21.2
WebNLG,LLaMa3-1B,5shot,(R_gold+intra/sim),22.3,26.1,21.0
Wikidata-TekGen,DeepSeek-V3,1shot,(R_gold/sim),50.4,51.3,51.7
Wikidata-TekGen,DeepSeek-V3,3shot,(R_gold/sim),53.0,54.6,53.7
Wikidata-TekGen,DeepSeek-V3,5shot,(R_gold/sim),52.0,54.0,52.3
Wikidata-TekGen,DeepSeek-V3,1shot,(R_gold+inter+intra/sim),46.8,48.9,47.0
Wikidata-TekGen,DeepSeek-V3,3shot,(R_gold+inter+intra/sim),45.7,48.7,45.4
Wikidata-TekGen,DeepSeek-V3,5shot,(R_gold+inter+intra/sim),42.8,45.7,42.6
Wikidata-TekGen,DeepSeek-V3,1shot,(R_gold+intra/rand),35.0,35.9,35.8
Wikidata-TekGen,DeepSeek-V3,3shot,(R_gold+intra/rand),40.1,41.4,40.4
Wikidata-TekGen,DeepSeek-V3,5shot,(R_gold+intra/rand),43.6,45.2,44.2
Wikidata-TekGen,DeepSeek-V3,1shot,(R_gold+intra/sim),45.7,47.2,46.2
Wikidata-TekGen,DeepSeek-V3,3shot,(R_gold+intra/sim),51.2,53.6,51.5
Wikidata-TekGen,DeepSeek-V3,5shot,(R_gold+intra/sim),49.4,51.9,49.5
Wikidata-TekGen,Gemini-1.5-Flash,1shot,(R_gold/sim),41.4,44.4,41.1
Wikidata-TekGen,Gemini-1.5-Flash,3shot,(R_gold/sim),48.6,52.3,47.9
Wikidata-TekGen,Gemini-1.5-Flash,5shot,(R_gold/sim),50.3,54.3,49.5
Wikidata-TekGen,Gemini-1.5-Flash,1shot,(R_gold+inter+intra/sim),37.9,40.9,37.5
Wikidata-TekGen,Gemini-1.5-Flash,3shot,(R_gold+inter+intra/sim),45.1,49.1,44.3
Wikidata-TekGen,Gemini-1.5-Flash,5shot,(R_gold+inter+intra/sim),47.5,51.9,46.6
Wikidata-TekGen,Gemini-1.5-Flash,1shot,(R_gold+intra/rand),24.8,26.8,24.7
Wikidata-TekGen,Gemini-1.5-Flash,3shot,(R_gold+intra/rand),31.8,34.6,31.3
Wikidata-TekGen,Gemini-1.5-Flash,5shot,(R_gold+intra/rand),33.4,36.3,33.0
Wikidata-TekGen,Gemini-1.5-Flash,1shot,(R_gold+intra/sim),34.9,38.0,34.7
Wikidata-TekGen,Gemini-1.5-Flash,3shot,(R_gold+intra/sim),43.1,47.1,42.2
Wikidata-TekGen,Gemini-1.5-Flash,5shot,(R_gold+intra/sim),44.9,49.2,44.0
Wikidata-TekGen,LLaMa3-8B,1shot,(R_gold/sim),43.5,44.3,45.0
Wikidata-TekGen,LLaMa3-8B,3shot,(R_gold/sim),44.2,46.2,44.4
Wikidata-TekGen,LLaMa3-8B,5shot,(R_gold/sim),43.1,46.0,43.0
Wikidata-TekGen,LLaMa3-8B,1shot,(R_gold+inter+intra/sim),39.8,44.0,39.2
Wikidata-TekGen,LLaMa3-8B,3shot,(R_gold+inter+intra/sim),36.4,39.9,36.0
Wikidata-TekGen,LLaMa3-8B,5shot,(R_gold+inter+intra/sim),33.6,37.4,32.6
Wikidata-TekGen,LLaMa3-8B,1shot,(R_gold+intra/rand),26.5,28.4,26.3
Wikidata-TekGen,LLaMa3-8B,3shot,(R_gold+intra/rand),32.6,35.1,32.2
Wikidata-TekGen,LLaMa3-8B,5shot,(R_gold+intra/rand),29.8,32.6,29.4
Wikidata-TekGen,LLaMa3-8B,1shot,(R_gold+intra/sim),43.1,45.3,43.5
Wikidata-TekGen,LLaMa3-8B,3shot,(R_gold+intra/sim),40.8,43.8,40.7
Wikidata-TekGen,LLaMa3-8B,5shot,(R_gold+intra/sim),39.3,42.2,39.1
Wikidata-TekGen,LLaMa3-1B,1shot,(R_gold/sim),18.4,16.8,24.2
Wikidata-TekGen,LLaMa3-1B,3shot,(R_gold/sim),11.7,10.3,17.5
Wikidata-TekGen,LLaMa3-1B,5shot,(R_gold/sim),8.7,7.8,14.0
Wikidata-TekGen,LLaMa3-1B,1shot,(R_gold+inter+intra/sim),11.4,12.1,12.4
Wikidata-TekGen,LLaMa3-1B,3shot,(R_gold+inter+intra/sim),9.8,10.5,12.0
Wikidata-TekGen,LLaMa3-1B,5shot,(R_gold+inter+intra/sim),10.1,10.6,13.1
Wikidata-TekGen,LLaMa3-1B,1shot,(R_gold+intra/rand),7.4,8.7,7.1
Wikidata-TekGen,LLaMa3-1B,3shot,(R_gold+intra/rand),5.6,6.6,5.4
Wikidata-TekGen,LLaMa3-1B,5shot,(R_gold+intra/rand),7.1,7.6,7.5
Wikidata-TekGen,LLaMa3-1B,1shot,(R_gold+intra/sim),18.7,20.8,18.5
Wikidata-TekGen,LLaMa3-1B,3shot,(R_gold+intra/sim),13.7,14.6,14.9
Wikidata-TekGen,LLaMa3-1B,5shot,(R_gold+intra/sim),12.9,13.6,14.9
